app_name,UI,gesture_x,gesture_y,bounds,classified_class,clickable,ancestors_cnt,siblings_cnt,ancestors,siblings,Hierarchy_Depth,Nesting_Level,top_spacing,bottom_spacing,left_spacing,right_spacing,total_components,descendant_count,descendant_classes
com.citibanamex.banamexmobile,244,466.6666666666667,521.3333333333334,"[0, 0, 1440, 84]",Other,False,2,3,"['Other', 'Other']","['Other', 'Other', 'Other']",15,1,0.0,0.9015625,0.0,0.0,106,105,"['Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Toolbar', 'Other', 'Other', 'Image', 'Image', 'TextButton', 'Other', 'Other', 'Other', 'Other', 'Other', 'Image', 'Other', 'Other', 'Other', 'TextButton', 'TextButton', 'Image', 'Image', 'Other', 'Other', 'Other', 'TextButton', 'TextButton', 'Image', 'Image', 'Other', 'Other', 'Other', 'TextButton', 'TextButton', 'Image', 'Image', 'Other', 'Other', 'Other', 'TextButton', 'TextButton', 'Image', 'Image', 'Other', 'Other', 'Other', 'Image', 'Other', 'TextButton', 'Other', 'Image', 'Image', 'Other', 'Image', 'Other', 'Other', 'Other', 'Other', 'TextButton', 'Other', 'Other', 'TextButton', 'Other', 'TextButton', 'Image', 'Other', 'TextButton', 'Image', 'Other', 'TextButton', 'Image', 'Other', 'TextButton', 'Other', 'TextButton', 'Other', 'TextButton', 'Other', 'TextButton', 'Other', 'TextButton', 'Other', 'TextButton', 'Other', 'TextButton', 'Image', 'Other', 'TextButton', 'Other', 'TextButton', 'Other', 'Image', 'TextButton', 'Other', 'TextButton', 'Image', 'Image', 'TextButton', 'Other', 'Other']"
com.classicapps.video.chat,777,161.4375,2091.503267973856,"[0, 0, 1440, 84]",Other,False,2,3,"['Other', 'Other']","['Other', 'Other', 'Other']",13,1,0.0,0.9015625,0.0,0.0,109,108,"['Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'TextButton', 'Other', 'TextButton', 'Image', 'TextButton', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'TextButton', 'Other', 'TextButton', 'Image', 'TextButton', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'TextButton', 'Other', 'TextButton', 'Image', 'TextButton', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'TextButton', 'Other', 'TextButton', 'Image', 'TextButton', 'Other', 'Other', 'Other', 'Other', 'Other', 'WebView', 'WebView', 'WebView', 'WebView', 'Other', 'Other', 'Other', 'Other', 'Other', 'Image', 'TextButton', 'TextButton', 'Other', 'TextButton', 'Image', 'Image', 'Other', 'Other', 'Other', 'Other', 'Image', 'TextButton', 'TextButton', 'Other', 'Image', 'TextButton', 'Other', 'Other', 'Image', 'Other', 'TextButton', 'TextButton', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Image', 'Other', 'Other', 'Other', 'Other', 'Other', 'Toolbar', 'TextButton', 'Other', 'Image', 'Image', 'Other', 'Other', 'Other', 'Other']"
com.cloudmagic.mail,2657,232.8,360.0,"[0, 280, 1440, 2392]",Other,False,9,4,"['Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other']","['Toolbar', 'Other', 'Other', 'Other']",25,8,0.0849220103986135,0.0,0.0,0.0,365,259,"['Toolbar', 'Image', 'Other', 'Image', 'Other', 'Other', 'Other', 'Other', 'TextButton', 'TextButton', 'TextButton', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Image', 'Other', 'Other', 'Other', 'Image', 'Other', 'Other', 'Other', 'Image', 'Other', 'Other', 'Other', 'Other', 'Checkbox', 'Other', 'Other', 'Image', 'Other', 'Other', 'Other', 'Other', 'Other', 'TextButton', 'TextButton', 'TextButton', 'TextButton', 'Other', 'Other', 'Other', 'Other', 'Image', 'Image', 'Image', 'Other', 'Other', 'Other', 'Other', 'Image', 'Other', 'Other', 'Other', 'Image', 'Other', 'Other', 'Other', 'Other', 'Checkbox', 'Other', 'Other', 'Image', 'Other', 'Other', 'Other', 'Other', 'Other', 'TextButton', 'TextButton', 'TextButton', 'TextButton', 'Other', 'Other', 'Other', 'Other', 'Image', 'Image', 'Image', 'Other', 'Other', 'Other', 'Other', 'Image', 'Other', 'Other', 'Other', 'Image', 'Other', 'Other', 'Other', 'Other', 'Checkbox', 'Other', 'Other', 'Image', 'Other', 'Other', 'Other', 'Other', 'Other', 'TextButton', 'TextButton', 'TextButton', 'TextButton', 'Other', 'Other', 'Other', 'Other', 'Image', 'Image', 'Image', 'Other', 'Other', 'Other', 'Other', 'Image', 'Other', 'Other', 'Other', 'Image', 'Other', 'Other', 'Other', 'Other', 'Checkbox', 'Other', 'Other', 'Image', 'Other', 'Other', 'Other', 'Other', 'Other', 'TextButton', 'TextButton', 'TextButton', 'TextButton', 'Other', 'Other', 'Other', 'Other', 'Image', 'Image', 'Image', 'Other', 'Other', 'Other', 'Other', 'Image', 'Other', 'Other', 'Other', 'Image', 'Other', 'Other', 'Other', 'Other', 'Checkbox', 'Other', 'Other', 'Image', 'Other', 'Other', 'Other', 'Other', 'Other', 'TextButton', 'TextButton', 'TextButton', 'TextButton', 'Other', 'Other', 'Other', 'Other', 'Image', 'Image', 'Image', 'Other', 'Other', 'Other', 'Other', 'Image', 'Other', 'Other', 'Other', 'Image', 'Other', 'Other', 'Other', 'Other', 'Checkbox', 'Other', 'Other', 'Image', 'Other', 'Other', 'Other', 'Other', 'Other', 'TextButton', 'TextButton', 'TextButton', 'TextButton', 'Other', 'Other', 'Other', 'Other', 'Image', 'Image', 'Image', 'Other', 'Other', 'Other', 'Other', 'Other', 'Image', 'Other', 'Other', 'Other', 'Other', 'Other', 'Image', 'Image', 'Image', 'Other', 'Image', 'Other', 'Other', 'Other', 'Other', 'TextButton', 'TextButton', 'TextButton', 'Other', 'TextButton', 'Other', 'Image', 'Image', 'Other', 'Other', 'Other', 'Other', 'Image', 'Other', 'Other', 'Other', 'Other', 'Other']"
com.codeaeon.smartswitch,65,109.33333333333331,173.33333333333331,"[0, 0, 1440, 84]",Other,False,2,3,"['Other', 'Other']","['Other', 'Other', 'Other']",17,1,0.0,0.9015625,0.0,0.0,81,80,"['Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Toolbar', 'Toolbar', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Image', 'Image', 'Image', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Image', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Image', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Image', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Image', 'Image', 'Image', 'Image', 'Image', 'Image', 'Other', 'Other', 'Other', 'Other', 'Other']"
com.cognitial.directvremote,1348,650.4,360.0,"[352, 329, 1087, 434]",TextButton,False,6,10,"['Other', 'Other', 'Other', 'Other', 'Other', 'TextButton']","['Other', 'TextButton', 'TextButton', 'TextButton', 'Other', 'TextButton', 'TextButton', 'TextButton', 'TextButton', 'Other']",8,5,0.1061525129982669,0.1364818024263431,0.2444444444444444,0.2451388888888888,23,17,"['Other', 'TextButton', 'TextButton', 'TextButton', 'Other', 'TextButton', 'TextButton', 'TextButton', 'TextButton', 'Other', 'Other', 'TextButton', 'Input', 'TextButton', 'TextButton', 'Other', 'TextButton']"
com.coloring.mermaids,505,111.9375,488.9469862018882,"[0, 0, 1440, 2392]",Other,False,5,1,"['Other', 'Other', 'Other', 'Other', 'Other']",['Other'],7,4,0.0,0.0,0.0,0.0,16,1,['Other']
com.cribasoft.HoursTrackerFree.Android,1106,140.0,481.3333333333333,"[0, 0, 1440, 84]",Other,False,2,3,"['Other', 'Other']","['Other', 'Other', 'Other']",10,1,0.0,0.9015625,0.0,0.0,53,52,"['Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'TextButton', 'Other', 'Other', 'TextButton', 'Other', 'Other', 'Other', 'TextButton', 'Other', 'Other', 'Other', 'TextButton', 'TextButton', 'TextButton', 'Other', 'Other', 'Advertisement', 'Other', 'WebView', 'WebView', 'WebView', 'WebView', 'Other', 'Toolbar', 'Image', 'Other', 'Image', 'Image', 'Other', 'Other', 'Other', 'TextButton', 'Other', 'Other', 'Other', 'Other', 'TextButton', 'Other', 'TextButton', 'Other', 'TextButton', 'Other', 'TextButton', 'Other', 'Other']"
com.cricbuzz.android,915,424.0,169.33333333333334,"[337, 125, 545, 210]",TextButton,False,7,2,"['Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'TextButton']","['TextButton', 'TextButton']",10,6,0.0,0.0,0.0,0.1186440677966101,84,2,"['TextButton', 'TextButton']"
com.developdroid.android.whip,196,732.0,717.3333333333334,"[0, 0, 1440, 84]",Other,False,2,3,"['Other', 'Other']","['Other', 'Other', 'Other']",10,1,0.0,0.9015625,0.0,0.0,35,34,"['Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Toolbar', 'TextButton', 'Image', 'Image', 'Other', 'Image', 'Other', 'Other', 'TextButton', 'Other', 'TextButton', 'Other', 'Other', 'TextButton', 'Other', 'Other', 'TextButton', 'Other', 'Other', 'TextButton', 'Other', 'Other', 'TextButton', 'Other', 'Image', 'Other', 'Other']"
com.disneydigitalbooks.DisneyMagicBrushTimer_goo,265,1303.3125,1833.0864197530864,"[0, 0, 1440, 2392]",Other,False,5,3,"['Other', 'Other', 'Other', 'Other', 'Other']","['Other', 'Other', 'Other']",10,4,0.0,0.0,0.0,0.0,106,94,"['Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Image', 'Other', 'Other', 'Other', 'Image', 'Other', 'TextButton', 'Other', 'Other', 'Other', 'Other', 'Other', 'Image', 'Image', 'Image', 'Image', 'Image', 'Other', 'Other', 'Image', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Image', 'Image', 'Image', 'Image', 'Image', 'Image', 'Image', 'Image', 'Image', 'BottomNavigation', 'Other', 'Other', 'Other', 'Image', 'Other', 'Image', 'Other', 'Image', 'Image', 'Other', 'Other', 'Other', 'Other', 'TextButton', 'Other', 'Other', 'TextButton', 'Other', 'Image', 'Other', 'TextButton', 'Other', 'TextButton', 'TextButton', 'TextButton', 'TextButton', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Image', 'Other', 'Other', 'Other', 'Other', 'Image', 'Other', 'Image', 'Other', 'Image', 'TextButton', 'Other', 'TextButton', 'Other', 'Other', 'Other']"
com.dokdoapps.mybabyphone,667,292.8,461.3333333333333,"[18, 420, 1440, 525]",Image,False,6,5,"['Other', 'Other', 'Other', 'Other', 'Other', 'Image']","['Image', 'Other', 'Other', 'Image', 'Other']",9,5,0.0,0.1463414634146341,0.0125,0.0,42,7,"['Image', 'Other', 'TextButton', 'Image', 'Other', 'Image', 'Other']"
com.droid27.d3flipclockweather,3451,146.4,1866.6666666666663,"[0, 0, 1440, 2392]",Image,False,5,8,"['Other', 'Other', 'Other', 'Other', 'Image']","['Other', 'Image', 'Other', 'Other', 'Other', 'Image', 'Image', 'Other']",15,4,0.0,0.0,0.0,0.0,235,230,"['Other', 'Image', 'Image', 'Image', 'Other', 'Other', 'TextButton', 'Image', 'Image', 'Other', 'Image', 'Image', 'Image', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'TextButton', 'Other', 'TextButton', 'Image', 'TextButton', 'TextButton', 'TextButton', 'Other', 'TextButton', 'TextButton', 'TextButton', 'TextButton', 'TextButton', 'Other', 'TextButton', 'TextButton', 'Other', 'Other', 'Other', 'TextButton', 'TextButton', 'Other', 'TextButton', 'TextButton', 'TextButton', 'TextButton', 'Other', 'Image', 'Image', 'Other', 'TextButton', 'Other', 'Other', 'TextButton', 'TextButton', 'Other', 'TextButton', 'TextButton', 'Other', 'TextButton', 'TextButton', 'Other', 'TextButton', 'TextButton', 'Image', 'Other', 'TextButton', 'TextButton', 'Other', 'TextButton', 'TextButton', 'Other', 'TextButton', 'TextButton', 'Other', 'Other', 'Other', 'TextButton', 'TextButton', 'Image', 'Other', 'TextButton', 'TextButton', 'TextButton', 'Other', 'TextButton', 'TextButton', 'Image', 'Other', 'TextButton', 'TextButton', 'TextButton', 'Other', 'TextButton', 'TextButton', 'Image', 'Other', 'TextButton', 'TextButton', 'TextButton', 'Other', 'TextButton', 'TextButton', 'Image', 'Other', 'TextButton', 'TextButton', 'TextButton', 'Other', 'TextButton', 'TextButton', 'Image', 'Other', 'TextButton', 'TextButton', 'TextButton', 'Other', 'Other', 'TextButton', 'Other', 'TextButton', 'Image', 'TextButton', 'TextButton', 'TextButton', 'Other', 'TextButton', 'TextButton', 'TextButton', 'TextButton', 'TextButton', 'Other', 'TextButton', 'TextButton', 'Other', 'Other', 'Other', 'TextButton', 'TextButton', 'Other', 'TextButton', 'TextButton', 'TextButton', 'TextButton', 'Other', 'Image', 'Image', 'Other', 'TextButton', 'Other', 'Other', 'TextButton', 'TextButton', 'Other', 'TextButton', 'TextButton', 'Other', 'TextButton', 'TextButton', 'Other', 'TextButton', 'TextButton', 'Image', 'Other', 'TextButton', 'TextButton', 'Other', 'TextButton', 'TextButton', 'Other', 'TextButton', 'TextButton', 'Other', 'Other', 'Other', 'TextButton', 'TextButton', 'Image', 'Other', 'TextButton', 'TextButton', 'TextButton', 'Other', 'TextButton', 'TextButton', 'Image', 'Other', 'TextButton', 'TextButton', 'TextButton', 'Other', 'TextButton', 'TextButton', 'Image', 'Other', 'TextButton', 'TextButton', 'TextButton', 'Other', 'TextButton', 'TextButton', 'Image', 'Other', 'TextButton', 'TextButton', 'TextButton', 'Other', 'TextButton', 'TextButton', 'Image', 'Other', 'TextButton', 'TextButton', 'TextButton', 'Other', 'Other', 'Image', 'Image', 'Other', 'Other', 'Advertisement', 'Other', 'WebView', 'WebView', 'Other', 'Image', 'Image', 'Image', 'Image', 'Image', 'Image']"
com.dylvian.mango.activities,197,292.8,240.0,"[0, 0, 1440, 84]",Other,False,2,3,"['Other', 'Other']","['Other', 'Other', 'Other']",14,1,0.0,0.9015625,0.0,0.0,146,145,"['Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Image', 'Other', 'Other', 'Image', 'Other', 'Other', 'Image', 'Other', 'Other', 'Image', 'Other', 'Other', 'Image', 'Other', 'Other', 'Image', 'Other', 'Other', 'Image', 'Toolbar', 'Image', 'Other', 'Image', 'Other', 'Other', 'Other', 'Image', 'Other', 'Other', 'Other', 'Other', 'Other', 'Image', 'Other', 'Image', 'Other', 'Image', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Image', 'Other', 'Image', 'Other', 'Other', 'Other', 'Other', 'Other', 'Image', 'Other', 'Image', 'Other', 'Other', 'Other', 'Other', 'Other', 'Image', 'Other', 'Image', 'Other', 'Other', 'Other', 'Other', 'Other', 'Image', 'Other', 'Image', 'Other', 'Other', 'Other', 'Other', 'Other', 'Image', 'Other', 'Image', 'Other', 'Other', 'Other', 'Other', 'Other', 'Image', 'Other', 'Image', 'Other', 'Other', 'Other', 'Other', 'Other', 'Image', 'Other', 'Image', 'Other', 'Other', 'Other', 'Other', 'Other', 'Image', 'Other', 'Image', 'Other', 'Other', 'Other', 'Other', 'Other', 'Image', 'Other', 'Image', 'Other', 'Other', 'Other', 'Other', 'Other', 'Image', 'Other', 'Image', 'Other', 'Other', 'Other', 'Other', 'Other', 'Image', 'Other', 'Image', 'Other', 'Other', 'Other']"
com.ecourier.mobile,48,489.3333333333333,1237.3333333333333,"[216, 658, 1224, 814]",TextButton,False,3,3,"['Other', 'Other', 'TextButton']","['TextButton', 'Other', 'Other']",8,2,0.0,0.8654012079378774,0.0,0.0,14,12,"['TextButton', 'Other', 'Other', 'Other', 'Other', 'TextButton', 'Input', 'TextButton', 'Other', 'Other', 'TextButton', 'TextButton']"
com.ejercicioscaseros,6043,744.0000000000001,842.6666666666666,"[0, 0, 1440, 84]",Other,False,2,3,"['Other', 'Other']","['Other', 'Other', 'Other']",13,1,0.0,0.9015625,0.0,0.0,38,37,"['Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Toolbar', 'TextButton', 'Image', 'Other', 'Other', 'Toolbar', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'TextButton', 'TextButton', 'TextButton', 'TextButton', 'Advertisement', 'Other', 'WebView', 'WebView', 'WebView', 'WebView', 'Other', 'Image', 'Image', 'Image', 'Other', 'Other']"
com.estrongs.android.taskmanager,4,540.0,736.0,"[170, 659, 1277, 783]",Other,False,7,2,"['Other', 'Other', 'Other', 'Other', 'Other', 'Other', 'Other']","['Image', 'Other']",7,6,0.0,0.0,0.0,0.0,22,2,"['Image', 'Other']"
